name,movie_count,lead_performance,gender,popularity,profile_path,credits,order
Michael Shannon,14,8,Male,37.36557142857142,https://image.tmdb.org/t/p/original/6mMczfjM8CiS1WuBOgo5Xom1TcR.jpg,"[137, 14195, 1903, 245703, 283235, 316021, 339419, 340666, 399055, 401905, 49521, 546554, 62213, 65]",51
Frances McDormand,14,7,Female,18.009000000000007,https://image.tmdb.org/t/p/original/r0A7hZsM1zuavTr0jN7bwmBcliR.jpg,"[11368, 275, 359940, 378, 38356, 438486, 4944, 542178, 581734, 591538, 6964, 786, 83666, 8998]",52
Harvey Keitel,14,6,Male,18.794000000000004,https://image.tmdb.org/t/p/original/7P30hza1neYWW3r7rSQOC736K2Z.jpg,"[103, 120467, 1541, 16153, 2005, 2059, 310593, 398978, 500, 6637, 680, 713, 755, 83666]",53
Don Cheadle,14,6,Male,13.26,https://image.tmdb.org/t/p/original/bynmDXiegMDjttb6x7I3ye2bCO1.jpg,"[10138, 1389, 15189, 161, 163, 1640, 271110, 298, 299536, 4995, 649409, 68721, 87502, 99861]",53
Helena Bonham Carter,14,5,Female,35.82999999999999,https://image.tmdb.org/t/p/original/DDeITcCpnBd0CkAIRPhggy9bt5.jpg,"[11257, 12444, 12445, 241259, 3933, 402900, 497582, 533, 550, 587, 62213, 675, 767, 82695]",54
Steve Coogan,14,3,Male,11.248999999999997,https://image.tmdb.org/t/p/original/tT7OXc2qA6hlREHXdwGLp0XihzA.jpg,"[10204, 103332, 14442, 1593, 181533, 18360, 1887, 205220, 211672, 324852, 32657, 38579, 7446, 93456]",55
Mark Strong,14,2,Male,37.178,https://image.tmdb.org/t/p/original/3cNmatYsoifytg7TfQhI1EHow3v.jpg,"[10528, 205596, 207703, 2270, 23483, 257, 337404, 376290, 44912, 49517, 49529, 530915, 817758, 97630]",56
Anthony Mackie,14,2,Male,21.908999999999995,https://image.tmdb.org/t/p/original/eZSIDrtTzhvabyjrmIITQLsjx8h.jpg,"[100402, 102899, 10317, 12162, 14462, 271110, 299536, 470044, 49527, 520663, 65, 70, 82682, 99861]",56
Andy Serkis,14,2,Male,28.18700000000001,https://image.tmdb.org/t/p/original/eNGqhebQ4cDssjVeNFrKtUvweV5.jpg,"[10096, 1124, 11619, 120, 121, 122, 140607, 17578, 181808, 284054, 414906, 459992, 61791, 99861]",56
John Ratzenberger,14,0,Male,16.507,https://image.tmdb.org/t/p/original/oRtDEOuIO1yDhTz5dORBdxXuLMO.jpg,"[10193, 10681, 127380, 14160, 2062, 260513, 260514, 585, 62177, 698296, 862, 863, 9487, 9806]",57
Jack Angel,14,0,Male,5.805999999999998,https://image.tmdb.org/t/p/original/5MsVwIULYJotUSbDs61uSJff7ei.jpg,"[10193, 10386, 10545, 11544, 12222, 37135, 585, 73723, 856, 862, 863, 9016, 93456, 9487]",57
Jesse Eisenberg,13,11,Male,31.358,https://image.tmdb.org/t/p/original/iA3ha8OZU7fULwQvmg2f1ipscCN.jpg,"[10707, 157827, 172385, 19908, 209112, 291805, 339397, 37799, 46195, 480001, 75656, 791373, 81836]",58
Jennifer Aniston,13,11,Female,30.798999999999996,https://image.tmdb.org/t/p/original/shIlZZpOu2L4sT2ohKlBMp9MUWG.jpg,"[10386, 138832, 14306, 1542, 227159, 27573, 310, 50546, 50647, 51540, 5966, 8998, 9767]",58
Robert Pattinson,13,11,Male,44.492000000000004,https://image.tmdb.org/t/p/original/6RVxNlNmc0DIfZzaJKCJM43If3M.jpg,"[18239, 24021, 376865, 414906, 429200, 499932, 503919, 504949, 50619, 50620, 55787, 577922, 8966]",58
Al Pacino,13,11,Male,59.19899999999999,https://image.tmdb.org/t/p/original/fMDFeVf0pjopTJbyRSLFwNDm8Wr.jpg,"[10174, 111, 238, 240, 256924, 298, 320, 3784, 398978, 644495, 71880, 9504, 968]",58
Ryan Gosling,13,11,Male,22.523000000000003,https://image.tmdb.org/t/p/original/lyUyVARQKhGxaxy0FbPJCQRpiaW.jpg,"[10637, 11036, 290250, 313369, 318846, 330947, 335984, 46503, 50646, 612392, 6615, 82682, 97367]",58
Hugh Jackman,13,10,Male,98.05999999999997,https://image.tmdb.org/t/p/original/5Dxx0j9jOAczsTQzZ0OkA5iJBhp.jpg,"[1124, 11619, 127585, 146233, 198184, 2080, 263115, 36668, 530723, 76170, 81188, 82695, 9836]",59
Matt Damon,13,10,Male,58.072,https://image.tmdb.org/t/p/original/At3JgvaNeEN4Z4ESKlhhes85Xo3.jpg,"[10220, 11191, 119675, 1213, 1422, 157336, 161, 163, 286217, 298, 489, 857, 9023]",59
Bradley Cooper,13,9,Male,31.257999999999996,https://image.tmdb.org/t/p/original/pLD2XvxqHueLWOuqXoFngJU3A5H.jpg,"[168672, 18785, 2171, 274479, 283995, 32856, 332562, 51876, 597208, 718032, 82693, 9522, 97367]",60
Colin Farrell,13,9,Male,33.365,https://image.tmdb.org/t/p/original/vVqrAhZpojAtp874wBaaFt5T4dN.jpg,"[140823, 180, 254320, 399019, 399057, 401469, 414906, 51540, 522627, 585378, 674324, 8321, 86838]",60
James Franco,13,8,Male,13.778,https://image.tmdb.org/t/p/original/rShzuvrQJJQJ6lXDn3IQX4o0iCE.jpg,"[10139, 122081, 126889, 228967, 371638, 390584, 537996, 557, 558, 559, 61791, 68728, 9708]",61
Susan Sarandon,13,8,Female,16.655,https://image.tmdb.org/t/p/original/oHYYL8bNakAREaLUBtMul5uMG0A.jpg,"[10539, 134411, 1541, 226486, 287, 32562, 36685, 431530, 4523, 6069, 7459, 83542, 9621]",61
Jamie Foxx,13,7,Male,29.50900000000001,https://image.tmdb.org/t/p/original/hPwCMEq6jLAidsXAX5BfoYgIfg2.jpg,"[102382, 1125, 1538, 172385, 196867, 227159, 25, 32856, 339403, 375588, 46195, 51540, 68718]",62
John Leguizamo,13,7,Male,31.629000000000005,https://image.tmdb.org/t/p/original/kEbXDtcPJ46GEhj5QlCTLZS6PWE.jpg,"[212778, 324552, 425, 454, 508791, 568124, 57800, 593643, 59859, 824, 8355, 9090, 950]",62
Gwyneth Paltrow,13,6,Female,21.019000000000002,https://image.tmdb.org/t/p/original/slPWN0VvYJtNOEuxlFSsXSNQMaF.jpg,"[10138, 1213, 1726, 1934, 23333, 24428, 68721, 7510, 8052, 807, 818, 879, 9428]",63
Ben Kingsley,13,6,Male,18.771000000000008,https://image.tmdb.org/t/p/original/vQtBqpF2HDdzbfXHDzR4u37i1Ac.jpg,"[11324, 12177, 14291, 181533, 2322, 257, 424, 44826, 566525, 644, 68721, 80274, 9543]",63
Chloë Grace Moretz,13,6,Female,102.25,https://image.tmdb.org/t/p/original/u08QwcFnJpMtsDEYSlbUkMuE7bP.jpg,"[10065, 13053, 23483, 246860, 325133, 33217, 361292, 426613, 44826, 471506, 59859, 62213, 675327]",63
Joan Cusack,13,5,Female,35.171,https://image.tmdb.org/t/p/original/69cfjfZFjVxfu2QbngnXOkipcyn.jpg,"[10193, 12626, 15144, 1584, 2321, 243, 2758, 3525, 50321, 84892, 863, 8998, 9982]",64
