name,job,movie_count,gender,popularity,profile_path,order
Brian Koppelman,Screenplay,2,Male,3.65,https://image.tmdb.org/t/p/original/h5SW9E5sTHR5Jwyqy3tNj5tbBPp.jpg,1123
Phyllida Lloyd,Director,2,Female,3.646,https://image.tmdb.org/t/p/original/1uY3e0Mo2K2PYZIlW6dKtPrXKyo.jpg,1124
Michael Arndt,Writer,2,Male,3.64,https://image.tmdb.org/t/p/original/iTJcSs93lxURPoFo2fegB8shBlX.jpg,1125
Mark Dindal,Director,2,Male,3.615,https://image.tmdb.org/t/p/original/333OWiQBGLBjAWUemWySFzxCbhx.jpg,1126
Theodore Melfi,Director,2,Male,3.614,https://image.tmdb.org/t/p/original/hn2z28ofSNRxx4UTo6qOqzYCx0u.jpg,1127
I. A. L. Diamond,Screenplay,2,Male,3.607,https://image.tmdb.org/t/p/original/we0pXraBZrKQdMaJu5l0H6jAH58.jpg,1128
Tyler Gillett,Director,2,Male,3.594,https://image.tmdb.org/t/p/original/puopb3xK23iJPQHmgJW0o2iggjh.jpg,1129
J. David Stem,Screenplay,2,Male,3.573,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,1130
Wes Ball,Director,2,Male,3.569,https://image.tmdb.org/t/p/original/zVPXrhuAxYAWlwDEWCaqeUPycFx.jpg,1131
Scott Neustadter,Screenplay,2,Male,3.564,https://image.tmdb.org/t/p/original/KAL9TwgTlBw0V43smbDC9Z6Qj6.jpg,1132
Owen Marks,Editor,2,Male,3.553,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,1133
James Marsh,Director,2,Male,3.539,https://image.tmdb.org/t/p/original/pvAWSznf3Ou5KWnPHgvKprB1qPV.jpg,1134
Glenn Ficarra,Director,2,Male,3.515,https://image.tmdb.org/t/p/original/23EaR6q7B1wcg9trxtr7xHzKu7q.jpg,1135
Jean-Claude Carrière,Screenplay,2,Male,3.495,https://image.tmdb.org/t/p/original/aacpycCbhFFIoVFTUmGpzRATNY1.jpg,1136
